,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Senior,Family,Single,Small,Medium,Large
0,0.0,3,male,22.0,1,0,7.25,S,Mr,0,2,False,True,False,False
1,1.0,1,female,38.0,1,0,71.2833,C,Mrs,0,2,False,True,False,False
2,1.0,3,female,26.0,0,0,7.925,S,Miss,0,1,True,False,False,False
3,1.0,1,female,35.0,1,0,53.1,S,Mrs,0,2,False,True,False,False
4,0.0,3,male,35.0,0,0,8.05,S,Mr,0,1,True,False,False,False
5,0.0,3,male,30.0,0,0,8.4583,Q,Mr,0,1,True,False,False,False
6,0.0,1,male,54.0,0,0,51.8625,S,Mr,0,1,True,False,False,False
7,0.0,3,male,2.0,3,1,21.075,S,Master,0,5,False,False,True,False
8,1.0,3,female,27.0,0,2,11.1333,S,Mrs,0,3,False,True,False,False
9,1.0,2,female,14.0,1,0,30.0708,C,Mrs,0,2,False,True,False,False
10,1.0,3,female,4.0,1,1,16.7,S,Miss,0,3,False,True,False,False
11,1.0,1,female,58.0,0,0,26.55,S,Miss,0,1,True,False,False,False
12,0.0,3,male,20.0,0,0,8.05,S,Mr,0,1,True,False,False,False
13,0.0,3,male,39.0,1,5,31.275,S,Mr,0,7,False,False,False,True
14,0.0,3,female,14.0,0,0,7.8542,S,Miss,0,1,True,False,False,False
15,1.0,2,female,55.0,0,0,16.0,S,Mrs,0,1,True,False,False,False
16,0.0,3,male,2.0,4,1,29.125,Q,Master,0,6,False,False,True,False
17,1.0,2,male,30.0,0,0,13.0,S,Mr,0,1,True,False,False,False
18,0.0,3,female,31.0,1,0,18.0,S,Mrs,0,2,False,True,False,False
19,1.0,3,female,35.5,0,0,7.225,C,Mrs,0,1,True,False,False,False
20,0.0,2,male,35.0,0,0,26.0,S,Mr,0,1,True,False,False,False
21,1.0,2,male,34.0,0,0,13.0,S,Mr,0,1,True,False,False,False
22,1.0,3,female,15.0,0,0,8.0292,Q,Miss,0,1,True,False,False,False
23,1.0,1,male,28.0,0,0,35.5,S,Mr,0,1,True,False,False,False
24,0.0,3,female,8.0,3,1,21.075,S,Miss,0,5,False,False,True,False
25,1.0,3,female,38.0,1,5,31.3875,S,Mrs,0,7,False,False,False,True
26,0.0,3,male,30.0,0,0,7.225,C,Mr,0,1,True,False,False,False
27,0.0,1,male,19.0,3,2,263.0,S,Mr,0,6,False,False,True,False
28,1.0,3,female,22.0,0,0,7.8792,Q,Miss,0,1,True,False,False,False
29,0.0,3,male,30.0,0,0,7.8958,S,Mr,0,1,True,False,False,False
30,0.0,1,male,40.0,0,0,27.7208,C,Mr,0,1,True,False,False,False
31,1.0,1,female,35.5,1,0,146.5208,C,Mrs,0,2,False,True,False,False
32,1.0,3,female,22.0,0,0,7.75,Q,Miss,0,1,True,False,False,False
33,0.0,2,male,66.0,0,0,10.5,S,Mr,0,1,True,False,False,False
34,0.0,1,male,28.0,1,0,82.1708,C,Mr,0,2,False,True,False,False
35,0.0,1,male,42.0,1,0,52.0,S,Mr,0,2,False,True,False,False
36,1.0,3,male,30.0,0,0,7.2292,C,Mr,0,1,True,False,False,False
37,0.0,3,male,21.0,0,0,8.05,S,Mr,0,1,True,False,False,False
38,0.0,3,female,18.0,2,0,18.0,S,Miss,0,3,False,True,False,False
39,1.0,3,female,14.0,1,0,11.2417,C,Miss,0,2,False,True,False,False
40,0.0,3,female,40.0,1,0,9.475,S,Mrs,0,2,False,True,False,False
41,0.0,2,female,27.0,1,0,21.0,S,Mrs,0,2,False,True,False,False
42,0.0,3,male,30.0,0,0,7.8958,C,Mr,0,1,True,False,False,False
43,1.0,2,female,3.0,1,2,41.5792,C,Miss,0,4,False,True,False,False
44,1.0,3,female,19.0,0,0,7.8792,Q,Miss,0,1,True,False,False,False
45,0.0,3,male,30.0,0,0,8.05,S,Mr,0,1,True,False,False,False
46,0.0,3,male,30.0,1,0,15.5,Q,Mr,0,2,False,True,False,False
47,1.0,3,female,22.0,0,0,7.75,Q,Miss,0,1,True,False,False,False
48,0.0,3,male,30.0,2,0,21.6792,C,Mr,0,3,False,True,False,False
49,0.0,3,female,18.0,1,0,17.8,S,Mrs,0,2,False,True,False,False
50,0.0,3,male,7.0,4,1,39.6875,S,Master,0,6,False,False,True,False
51,0.0,3,male,21.0,0,0,7.8,S,Mr,0,1,True,False,False,False
52,1.0,1,female,49.0,1,0,76.7292,C,Mrs,0,2,False,True,False,False
53,1.0,2,female,29.0,1,0,26.0,S,Mrs,0,2,False,True,False,False
54,0.0,1,male,65.0,0,1,61.9792,C,Mr,0,2,False,True,False,False
55,1.0,1,male,30.0,0,0,35.5,S,Mr,0,1,True,False,False,False
56,1.0,2,female,21.0,0,0,10.5,S,Miss,0,1,True,False,False,False
57,0.0,3,male,28.5,0,0,7.2292,C,Mr,0,1,True,False,False,False
58,1.0,2,female,5.0,1,2,27.75,S,Miss,0,4,False,True,False,False
59,0.0,3,male,11.0,5,2,46.9,S,Master,0,8,False,False,False,True
60,0.0,3,male,22.0,0,0,7.2292,C,Mr,0,1,True,False,False,False
61,1.0,1,female,38.0,0,0,80.0,S,Miss,0,1,True,False,False,False
62,0.0,1,male,45.0,1,0,83.475,S,Mr,0,2,False,True,False,False
63,0.0,3,male,4.0,3,2,27.9,S,Master,0,6,False,False,True,False
64,0.0,1,male,30.0,0,0,27.7208,C,Mr,0,1,True,False,False,False
65,1.0,3,male,4.0,1,1,15.2458,C,Master,0,3,False,True,False,False
66,1.0,2,female,29.0,0,0,10.5,S,Mrs,0,1,True,False,False,False
67,0.0,3,male,19.0,0,0,8.1583,S,Mr,0,1,True,False,False,False
68,1.0,3,female,17.0,4,2,7.925,S,Miss,0,7,False,False,False,True
69,0.0,3,male,26.0,2,0,8.6625,S,Mr,0,3,False,True,False,False
70,0.0,2,male,32.0,0,0,10.5,S,Mr,0,1,True,False,False,False
71,0.0,3,female,16.0,5,2,46.9,S,Miss,0,8,False,False,False,True
72,0.0,2,male,21.0,0,0,73.5,S,Mr,0,1,True,False,False,False
73,0.0,3,male,26.0,1,0,14.4542,C,Mr,0,2,False,True,False,False
74,1.0,3,male,32.0,0,0,56.4958,S,Mr,0,1,True,False,False,False
75,0.0,3,male,25.0,0,0,7.65,S,Mr,0,1,True,False,False,False
76,0.0,3,male,30.0,0,0,7.8958,S,Mr,0,1,True,False,False,False
77,0.0,3,male,30.0,0,0,8.05,S,Mr,0,1,True,False,False,False
78,1.0,2,male,0.83,0,2,29.0,S,Master,0,3,False,True,False,False
79,1.0,3,female,30.0,0,0,12.475,S,Miss,0,1,True,False,False,False
80,0.0,3,male,22.0,0,0,9.0,S,Mr,0,1,True,False,False,False
81,1.0,3,male,29.0,0,0,9.5,S,Mr,0,1,True,False,False,False
82,1.0,3,female,22.0,0,0,7.7875,Q,Miss,0,1,True,False,False,False
83,0.0,1,male,28.0,0,0,47.1,S,Mr,0,1,True,False,False,False
84,1.0,2,female,17.0,0,0,10.5,S,Miss,0,1,True,False,False,False
85,1.0,3,female,33.0,3,0,15.85,S,Mrs,0,4,False,True,False,False
86,0.0,3,male,16.0,1,3,34.375,S,Mr,0,5,False,False,True,False
87,0.0,3,male,30.0,0,0,8.05,S,Mr,0,1,True,False,False,False
88,1.0,1,female,23.0,3,2,263.0,S,Miss,0,6,False,False,True,False
89,0.0,3,male,24.0,0,0,8.05,S,Mr,0,1,True,False,False,False
90,0.0,3,male,29.0,0,0,8.05,S,Mr,0,1,True,False,False,False
91,0.0,3,male,20.0,0,0,7.8542,S,Mr,0,1,True,False,False,False
92,0.0,1,male,46.0,1,0,61.175,S,Mr,0,2,False,True,False,False
93,0.0,3,male,26.0,1,2,20.575,S,Mr,0,4,False,True,False,False
94,0.0,3,male,59.0,0,0,7.25,S,Mr,0,1,True,False,False,False
95,0.0,3,male,30.0,0,0,8.05,S,Mr,0,1,True,False,False,False
96,0.0,1,male,71.0,0,0,34.6542,C,Mr,1,1,True,False,False,False
97,1.0,1,male,23.0,0,1,63.3583,C,Mr,0,2,False,True,False,False
98,1.0,2,female,34.0,0,1,23.0,S,Mrs,0,2,False,True,False,False
99,0.0,2,male,34.0,1,0,26.0,S,Mr,0,2,False,True,False,False
100,0.0,3,female,28.0,0,0,7.8958,S,Miss,0,1,True,False,False,False
101,0.0,3,male,30.0,0,0,7.8958,S,Mr,0,1,True,False,False,False
102,0.0,1,male,21.0,0,1,77.2875,S,Mr,0,2,False,True,False,False
103,0.0,3,male,33.0,0,0,8.6542,S,Mr,0,1,True,False,False,False
104,0.0,3,male,37.0,2,0,7.925,S,Mr,0,3,False,True,False,False
105,0.0,3,male,28.0,0,0,7.8958,S,Mr,0,1,True,False,False,False
106,1.0,3,female,21.0,0,0,7.65,S,Miss,0,1,True,False,False,False
107,1.0,3,male,30.0,0,0,7.775,S,Mr,0,1,True,False,False,False
108,0.0,3,male,38.0,0,0,7.8958,S,Mr,0,1,True,False,False,False
109,1.0,3,female,22.0,1,0,24.15,Q,Miss,0,2,False,True,False,False
110,0.0,1,male,47.0,0,0,52.0,S,Mr,0,1,True,False,False,False
111,0.0,3,female,14.5,1,0,14.4542,C,Miss,0,2,False,True,False,False
112,0.0,3,male,22.0,0,0,8.05,S,Mr,0,1,True,False,False,False
113,0.0,3,female,20.0,1,0,9.825,S,Miss,0,2,False,True,False,False
114,0.0,3,female,17.0,0,0,14.4583,C,Miss,0,1,True,False,False,False
115,0.0,3,male,21.0,0,0,7.925,S,Mr,0,1,True,False,False,False
116,0.0,3,male,70.5,0,0,7.75,Q,Mr,1,1,True,False,False,False
117,0.0,2,male,29.0,1,0,21.0,S,Mr,0,2,False,True,False,False
118,0.0,1,male,24.0,0,1,247.5208,C,Mr,0,2,False,True,False,False
119,0.0,3,female,2.0,4,2,31.275,S,Miss,0,7,False,False,False,True
120,0.0,2,male,21.0,2,0,73.5,S,Mr,0,3,False,True,False,False
121,0.0,3,male,30.0,0,0,8.05,S,Mr,0,1,True,False,False,False
122,0.0,2,male,32.5,1,0,30.0708,C,Mr,0,2,False,True,False,False
123,1.0,2,female,32.5,0,0,13.0,S,Miss,0,1,True,False,False,False
124,0.0,1,male,54.0,0,1,77.2875,S,Mr,0,2,False,True,False,False
125,1.0,3,male,12.0,1,0,11.2417,C,Master,0,2,False,True,False,False
126,0.0,3,male,30.0,0,0,7.75,Q,Mr,0,1,True,False,False,False
127,1.0,3,male,24.0,0,0,7.1417,S,Mr,0,1,True,False,False,False
128,1.0,3,female,22.0,1,1,22.3583,C,Miss,0,3,False,True,False,False
129,0.0,3,male,45.0,0,0,6.975,S,Mr,0,1,True,False,False,False
130,0.0,3,male,33.0,0,0,7.8958,C,Mr,0,1,True,False,False,False
131,0.0,3,male,20.0,0,0,7.05,S,Mr,0,1,True,False,False,False
132,0.0,3,female,47.0,1,0,14.5,S,Mrs,0,2,False,True,False,False
133,1.0,2,female,29.0,1,0,26.0,S,Mrs,0,2,False,True,False,False
134,0.0,2,male,25.0,0,0,13.0,S,Mr,0,1,True,False,False,False
135,0.0,2,male,23.0,0,0,15.0458,C,Mr,0,1,True,False,False,False
136,1.0,1,female,19.0,0,2,26.2833,S,Miss,0,3,False,True,False,False
137,0.0,1,male,37.0,1,0,53.1,S,Mr,0,2,False,True,False,False
138,0.0,3,male,16.0,0,0,9.2167,S,Mr,0,1,True,False,False,False
139,0.0,1,male,24.0,0,0,79.2,C,Mr,0,1,True,False,False,False
140,0.0,3,female,35.5,0,2,15.2458,C,Mrs,0,3,False,True,False,False
141,1.0,3,female,22.0,0,0,7.75,S,Miss,0,1,True,False,False,False
142,1.0,3,female,24.0,1,0,15.85,S,Mrs,0,2,False,True,False,False
143,0.0,3,male,19.0,0,0,6.75,Q,Mr,0,1,True,False,False,False
144,0.0,2,male,18.0,0,0,11.5,S,Mr,0,1,True,False,False,False
145,0.0,2,male,19.0,1,1,36.75,S,Mr,0,3,False,True,False,False
146,1.0,3,male,27.0,0,0,7.7958,S,Mr,0,1,True,False,False,False
147,0.0,3,female,9.0,2,2,34.375,S,Miss,0,5,False,False,True,False
148,0.0,2,male,36.5,0,2,26.0,S,Mr,0,3,False,True,False,False
149,0.0,2,male,42.0,0,0,13.0,S,Mr,0,1,True,False,False,False
150,0.0,2,male,51.0,0,0,12.525,S,Mr,0,1,True,False,False,False
151,1.0,1,female,22.0,1,0,66.6,S,Mrs,0,2,False,True,False,False
152,0.0,3,male,55.5,0,0,8.05,S,Mr,0,1,True,False,False,False
153,0.0,3,male,40.5,0,2,14.5,S,Mr,0,3,False,True,False,False
154,0.0,3,male,30.0,0,0,7.3125,S,Mr,0,1,True,False,False,False
155,0.0,1,male,51.0,0,1,61.3792,C,Mr,0,2,False,True,False,False
156,1.0,3,female,16.0,0,0,7.7333,Q,Miss,0,1,True,False,False,False
157,0.0,3,male,30.0,0,0,8.05,S,Mr,0,1,True,False,False,False
158,0.0,3,male,30.0,0,0,8.6625,S,Mr,0,1,True,False,False,False
159,0.0,3,male,4.0,8,2,69.55,S,Master,0,11,False,False,False,True
160,0.0,3,male,44.0,0,1,16.1,S,Mr,0,2,False,True,False,False
161,1.0,2,female,40.0,0,0,15.75,S,Mrs,0,1,True,False,False,False
162,0.0,3,male,26.0,0,0,7.775,S,Mr,0,1,True,False,False,False
163,0.0,3,male,17.0,0,0,8.6625,S,Mr,0,1,True,False,False,False
164,0.0,3,male,1.0,4,1,39.6875,S,Master,0,6,False,False,True,False
165,1.0,3,male,9.0,0,2,20.525,S,Master,0,3,False,True,False,False
166,1.0,1,female,35.5,0,1,55.0,S,Mrs,0,2,False,True,False,False
167,0.0,3,female,45.0,1,4,27.9,S,Mrs,0,6,False,False,True,False
168,0.0,1,male,30.0,0,0,25.925,S,Mr,0,1,True,False,False,False
169,0.0,3,male,28.0,0,0,56.4958,S,Mr,0,1,True,False,False,False
170,0.0,1,male,61.0,0,0,33.5,S,Mr,0,1,True,False,False,False
171,0.0,3,male,4.0,4,1,29.125,Q,Master,0,6,False,False,True,False
172,1.0,3,female,1.0,1,1,11.1333,S,Miss,0,3,False,True,False,False
173,0.0,3,male,21.0,0,0,7.925,S,Mr,0,1,True,False,False,False
174,0.0,1,male,56.0,0,0,30.6958,C,Mr,0,1,True,False,False,False
175,0.0,3,male,18.0,1,1,7.8542,S,Mr,0,3,False,True,False,False
176,0.0,3,male,4.0,3,1,25.4667,S,Master,0,5,False,False,True,False
177,0.0,1,female,50.0,0,0,28.7125,C,Miss,0,1,True,False,False,False
178,0.0,2,male,30.0,0,0,13.0,S,Mr,0,1,True,False,False,False
179,0.0,3,male,36.0,0,0,0.0,S,Mr,0,1,True,False,False,False
180,0.0,3,female,22.0,8,2,69.55,S,Miss,0,11,False,False,False,True
181,0.0,2,male,30.0,0,0,15.05,C,Mr,0,1,True,False,False,False
182,0.0,3,male,9.0,4,2,31.3875,S,Master,0,7,False,False,False,True
183,1.0,2,male,1.0,2,1,39.0,S,Master,0,4,False,True,False,False
184,1.0,3,female,4.0,0,2,22.025,S,Miss,0,3,False,True,False,False
185,0.0,1,male,30.0,0,0,50.0,S,Mr,0,1,True,False,False,False
186,1.0,3,female,35.5,1,0,15.5,Q,Mrs,0,2,False,True,False,False
187,1.0,1,male,45.0,0,0,26.55,S,Mr,0,1,True,False,False,False
188,0.0,3,male,40.0,1,1,15.5,Q,Mr,0,3,False,True,False,False
189,0.0,3,male,36.0,0,0,7.8958,S,Mr,0,1,True,False,False,False
190,1.0,2,female,32.0,0,0,13.0,S,Mrs,0,1,True,False,False,False
191,0.0,2,male,19.0,0,0,13.0,S,Mr,0,1,True,False,False,False
192,1.0,3,female,19.0,1,0,7.8542,S,Miss,0,2,False,True,False,False
193,1.0,2,male,3.0,1,1,26.0,S,Master,0,3,False,True,False,False
194,1.0,1,female,44.0,0,0,27.7208,C,Mrs,0,1,True,False,False,False
195,1.0,1,female,58.0,0,0,146.5208,C,Miss,0,1,True,False,False,False
196,0.0,3,male,30.0,0,0,7.75,Q,Mr,0,1,True,False,False,False
197,0.0,3,male,42.0,0,1,8.4042,S,Mr,0,2,False,True,False,False
198,1.0,3,female,22.0,0,0,7.75,Q,Miss,0,1,True,False,False,False
199,0.0,2,female,24.0,0,0,13.0,S,Miss,0,1,True,False,False,False
200,0.0,3,male,28.0,0,0,9.5,S,Mr,0,1,True,False,False,False
201,0.0,3,male,30.0,8,2,69.55,S,Mr,0,11,False,False,False,True
202,0.0,3,male,34.0,0,0,6.4958,S,Mr,0,1,True,False,False,False
203,0.0,3,male,45.5,0,0,7.225,C,Mr,0,1,True,False,False,False
204,1.0,3,male,18.0,0,0,8.05,S,Mr,0,1,True,False,False,False
205,0.0,3,female,2.0,0,1,10.4625,S,Miss,0,2,False,True,False,False
206,0.0,3,male,32.0,1,0,15.85,S,Mr,0,2,False,True,False,False
207,1.0,3,male,26.0,0,0,18.7875,C,Mr,0,1,True,False,False,False
208,1.0,3,female,16.0,0,0,7.75,Q,Miss,0,1,True,False,False,False
209,1.0,1,male,40.0,0,0,31.0,C,Mr,0,1,True,False,False,False
210,0.0,3,male,24.0,0,0,7.05,S,Mr,0,1,True,False,False,False
211,1.0,2,female,35.0,0,0,21.0,S,Miss,0,1,True,False,False,False
212,0.0,3,male,22.0,0,0,7.25,S,Mr,0,1,True,False,False,False
213,0.0,2,male,30.0,0,0,13.0,S,Mr,0,1,True,False,False,False
214,0.0,3,male,30.0,1,0,7.75,Q,Mr,0,2,False,True,False,False
215,1.0,1,female,31.0,1,0,113.275,C,Miss,0,2,False,True,False,False
216,1.0,3,female,27.0,0,0,7.925,S,Miss,0,1,True,False,False,False
217,0.0,2,male,42.0,1,0,27.0,S,Mr,0,2,False,True,False,False
218,1.0,1,female,32.0,0,0,76.2917,C,Miss,0,1,True,False,False,False
219,0.0,2,male,30.0,0,0,10.5,S,Mr,0,1,True,False,False,False
220,1.0,3,male,16.0,0,0,8.05,S,Mr,0,1,True,False,False,False
221,0.0,2,male,27.0,0,0,13.0,S,Mr,0,1,True,False,False,False
222,0.0,3,male,51.0,0,0,8.05,S,Mr,0,1,True,False,False,False
223,0.0,3,male,30.0,0,0,7.8958,S,Mr,0,1,True,False,False,False
224,1.0,1,male,38.0,1,0,90.0,S,Mr,0,2,False,True,False,False
225,0.0,3,male,22.0,0,0,9.35,S,Mr,0,1,True,False,False,False
226,1.0,2,male,19.0,0,0,10.5,S,Mr,0,1,True,False,False,False
227,0.0,3,male,20.5,0,0,7.25,S,Mr,0,1,True,False,False,False
228,0.0,2,male,18.0,0,0,13.0,S,Mr,0,1,True,False,False,False
229,0.0,3,female,22.0,3,1,25.4667,S,Miss,0,5,False,False,True,False
230,1.0,1,female,35.0,1,0,83.475,S,Mrs,0,2,False,True,False,False
231,0.0,3,male,29.0,0,0,7.775,S,Mr,0,1,True,False,False,False
232,0.0,2,male,59.0,0,0,13.5,S,Mr,0,1,True,False,False,False
233,1.0,3,female,5.0,4,2,31.3875,S,Miss,0,7,False,False,False,True
234,0.0,2,male,24.0,0,0,10.5,S,Mr,0,1,True,False,False,False
235,0.0,3,female,22.0,0,0,7.55,S,Miss,0,1,True,False,False,False
236,0.0,2,male,44.0,1,0,26.0,S,Mr,0,2,False,True,False,False
237,1.0,2,female,8.0,0,2,26.25,S,Miss,0,3,False,True,False,False
238,0.0,2,male,19.0,0,0,10.5,S,Mr,0,1,True,False,False,False
239,0.0,2,male,33.0,0,0,12.275,S,Mr,0,1,True,False,False,False
240,0.0,3,female,22.0,1,0,14.4542,C,Miss,0,2,False,True,False,False
241,1.0,3,female,22.0,1,0,15.5,Q,Miss,0,2,False,True,False,False
242,0.0,2,male,29.0,0,0,10.5,S,Mr,0,1,True,False,False,False
243,0.0,3,male,22.0,0,0,7.125,S,Mr,0,1,True,False,False,False
244,0.0,3,male,30.0,0,0,7.225,C,Mr,0,1,True,False,False,False
245,0.0,1,male,44.0,2,0,90.0,Q,Mr,0,3,False,True,False,False
246,0.0,3,female,25.0,0,0,7.775,S,Miss,0,1,True,False,False,False
247,1.0,2,female,24.0,0,2,14.5,S,Mrs,0,3,False,True,False,False
248,1.0,1,male,37.0,1,1,52.5542,S,Mr,0,3,False,True,False,False
249,0.0,2,male,54.0,1,0,26.0,S,Mr,0,2,False,True,False,False
250,0.0,3,male,30.0,0,0,7.25,S,Mr,0,1,True,False,False,False
251,0.0,3,female,29.0,1,1,10.4625,S,Mrs,0,3,False,True,False,False
252,0.0,1,male,62.0,0,0,26.55,S,Mr,0,1,True,False,False,False
253,0.0,3,male,30.0,1,0,16.1,S,Mr,0,2,False,True,False,False
254,0.0,3,female,41.0,0,2,20.2125,S,Mrs,0,3,False,True,False,False
255,1.0,3,female,29.0,0,2,15.2458,C,Mrs,0,3,False,True,False,False
256,1.0,1,female,35.5,0,0,79.2,C,Mrs,0,1,True,False,False,False
257,1.0,1,female,30.0,0,0,86.5,S,Miss,0,1,True,False,False,False
258,1.0,1,female,35.0,0,0,512.3292,C,Miss,0,1,True,False,False,False
259,1.0,2,female,50.0,0,1,26.0,S,Mrs,0,2,False,True,False,False
260,0.0,3,male,30.0,0,0,7.75,Q,Mr,0,1,True,False,False,False
261,1.0,3,male,3.0,4,2,31.3875,S,Master,0,7,False,False,False,True
262,0.0,1,male,52.0,1,1,79.65,S,Mr,0,3,False,True,False,False
263,0.0,1,male,40.0,0,0,0.0,S,Mr,0,1,True,False,False,False
264,0.0,3,female,22.0,0,0,7.75,Q,Miss,0,1,True,False,False,False
265,0.0,2,male,36.0,0,0,10.5,S,Mr,0,1,True,False,False,False
266,0.0,3,male,16.0,4,1,39.6875,S,Mr,0,6,False,False,True,False
267,1.0,3,male,25.0,1,0,7.775,S,Mr,0,2,False,True,False,False
268,1.0,1,female,58.0,0,1,153.4625,S,Mrs,0,2,False,True,False,False
269,1.0,1,female,35.0,0,0,135.6333,S,Miss,0,1,True,False,False,False
270,0.0,1,male,30.0,0,0,31.0,S,Mr,0,1,True,False,False,False
271,1.0,3,male,25.0,0,0,0.0,S,Mr,0,1,True,False,False,False
272,1.0,2,female,41.0,0,1,19.5,S,Mrs,0,2,False,True,False,False
273,0.0,1,male,37.0,0,1,29.7,C,Mr,0,2,False,True,False,False
274,1.0,3,female,22.0,0,0,7.75,Q,Miss,0,1,True,False,False,False
275,1.0,1,female,63.0,1,0,77.9583,S,Miss,0,2,False,True,False,False
276,0.0,3,female,45.0,0,0,7.75,S,Miss,0,1,True,False,False,False
277,0.0,2,male,30.0,0,0,0.0,S,Mr,0,1,True,False,False,False
278,0.0,3,male,7.0,4,1,29.125,Q,Master,0,6,False,False,True,False
279,1.0,3,female,35.0,1,1,20.25,S,Mrs,0,3,False,True,False,False
280,0.0,3,male,65.0,0,0,7.75,Q,Mr,0,1,True,False,False,False
281,0.0,3,male,28.0,0,0,7.8542,S,Mr,0,1,True,False,False,False
282,0.0,3,male,16.0,0,0,9.5,S,Mr,0,1,True,False,False,False
283,1.0,3,male,19.0,0,0,8.05,S,Mr,0,1,True,False,False,False
284,0.0,1,male,30.0,0,0,26.0,S,Mr,0,1,True,False,False,False
285,0.0,3,male,33.0,0,0,8.6625,C,Mr,0,1,True,False,False,False
286,1.0,3,male,30.0,0,0,9.5,S,Mr,0,1,True,False,False,False
287,0.0,3,male,22.0,0,0,7.8958,S,Mr,0,1,True,False,False,False
288,1.0,2,male,42.0,0,0,13.0,S,Mr,0,1,True,False,False,False
289,1.0,3,female,22.0,0,0,7.75,Q,Miss,0,1,True,False,False,False
290,1.0,1,female,26.0,0,0,78.85,S,Miss,0,1,True,False,False,False
291,1.0,1,female,19.0,1,0,91.0792,C,Mrs,0,2,False,True,False,False
292,0.0,2,male,36.0,0,0,12.875,C,Mr,0,1,True,False,False,False
293,0.0,3,female,24.0,0,0,8.85,S,Miss,0,1,True,False,False,False
294,0.0,3,male,24.0,0,0,7.8958,S,Mr,0,1,True,False,False,False
295,0.0,1,male,30.0,0,0,27.7208,C,Mr,0,1,True,False,False,False
296,0.0,3,male,23.5,0,0,7.2292,C,Mr,0,1,True,False,False,False
297,0.0,1,female,2.0,1,2,151.55,S,Miss,0,4,False,True,False,False
298,1.0,1,male,30.0,0,0,30.5,S,Mr,0,1,True,False,False,False
299,1.0,1,female,50.0,0,1,247.5208,C,Mrs,0,2,False,True,False,False
300,1.0,3,female,22.0,0,0,7.75,Q,Miss,0,1,True,False,False,False
301,1.0,3,male,30.0,2,0,23.25,Q,Mr,0,3,False,True,False,False
302,0.0,3,male,19.0,0,0,0.0,S,Mr,0,1,True,False,False,False
303,1.0,2,female,22.0,0,0,12.35,Q,Miss,0,1,True,False,False,False
304,0.0,3,male,30.0,0,0,8.05,S,Mr,0,1,True,False,False,False
305,1.0,1,male,0.92,1,2,151.55,S,Master,0,4,False,True,False,False
306,1.0,1,female,22.0,0,0,110.8833,C,Miss,0,1,True,False,False,False
307,1.0,1,female,17.0,1,0,108.9,C,Mrs,0,2,False,True,False,False
308,0.0,2,male,30.0,1,0,24.0,C,Mr,0,2,False,True,False,False
309,1.0,1,female,30.0,0,0,56.9292,C,Miss,0,1,True,False,False,False
310,1.0,1,female,24.0,0,0,83.1583,C,Miss,0,1,True,False,False,False
311,1.0,1,female,18.0,2,2,262.375,C,Miss,0,5,False,False,True,False
312,0.0,2,female,26.0,1,1,26.0,S,Mrs,0,3,False,True,False,False
313,0.0,3,male,28.0,0,0,7.8958,S,Mr,0,1,True,False,False,False
314,0.0,2,male,43.0,1,1,26.25,S,Mr,0,3,False,True,False,False
315,1.0,3,female,26.0,0,0,7.8542,S,Miss,0,1,True,False,False,False
316,1.0,2,female,24.0,1,0,26.0,S,Mrs,0,2,False,True,False,False
317,0.0,2,male,54.0,0,0,14.0,S,Mr,0,1,True,False,False,False
318,1.0,1,female,31.0,0,2,164.8667,S,Miss,0,3,False,True,False,False
319,1.0,1,female,40.0,1,1,134.5,C,Mrs,0,3,False,True,False,False
320,0.0,3,male,22.0,0,0,7.25,S,Mr,0,1,True,False,False,False
